ID,Type,CISD1,HSBP1,PGD,GSS,GCLM,PEBP1,CS
GSM1539353_con,Normal,8.2033,8.645971,10.744907,7.4896,7.375419,7.961512,8.81192
GSM1539354_con,Normal,8.24551,8.855033,10.748938,7.48523,7.30144,7.841447,8.769073
GSM1539355_con,Normal,8.208594,8.617,11.329625,7.286214,7.281454,8.170655,8.958657
GSM1539356_con,Normal,7.988064,8.558966,10.903587,7.546762,7.417721,7.8512,8.920239
GSM1539357_con,Normal,8.15761,8.867963,10.651336,7.511831,7.340142,7.652606,8.793389
GSM1539358_con,Normal,8.575572,9.05626,10.156949,7.47272,7.312341,8.025719,8.738988
GSM1539359_con,Normal,8.070961,8.748771,10.800478,7.407461,7.224277,7.947792,8.690409
GSM1539360_con,Normal,8.018056,8.700353,11.393906,7.343619,7.406586,7.87581,8.684388
GSM1539361_con,Normal,8.057161,8.39947,10.57565,7.408936,7.286588,8.137257,8.843664
GSM1539362_con,Normal,8.56193,8.929678,10.276268,7.333251,7.107965,8.14037,8.652357
GSM1539363_con,Normal,8.579045,8.68947,10.116838,7.364273,7.378271,8.141954,8.694977
GSM1539364_con,Normal,7.914691,8.758803,10.869951,7.372265,7.462877,7.993532,8.730353
GSM1539365_con,Normal,8.640404,9.402732,10.659569,7.301255,7.338236,7.705549,8.370358
GSM1539366_con,Normal,8.373495,8.902828,10.841481,7.232238,7.215203,7.899825,8.647372
GSM1539367_con,Normal,8.162241,8.831795,10.691192,7.280605,7.319194,7.886148,8.710006
GSM1539439_con,Normal,8.454595,8.74996,10.541753,7.535683,7.275015,8.077569,8.742624
GSM1539440_con,Normal,8.032111,9.01563,11.283834,7.300424,7.457785,7.778599,8.446954
GSM1539441_con,Normal,7.84369,8.624589,10.533727,7.411824,7.234692,8.247755,8.776556
GSM1539442_con,Normal,8.417134,8.869747,10.34092,7.351038,7.252584,8.096247,8.783889
GSM1539443_con,Normal,8.190684,8.628099,10.541753,7.134999,7.380118,7.95278,8.851123
GSM1539444_con,Normal,7.950343,8.468526,10.852207,7.467048,7.207239,7.759506,8.730743
GSM1539445_con,Normal,7.692622,8.838329,10.880807,7.681905,7.300664,8.610667,8.696931
GSM1539446_con,Normal,8.26521,8.313539,10.646457,7.414448,7.36717,8.553924,8.840742
GSM1539447_con,Normal,8.658836,9.201932,10.088443,7.260847,7.354328,7.84345,8.625563
GSM1539448_con,Normal,8.271846,8.820059,10.562634,7.373644,7.32027,7.961985,8.696094
GSM1539449_con,Normal,8.225767,8.613645,10.379058,7.318737,7.334919,8.212649,8.663649
GSM1539450_con,Normal,8.712355,8.901229,10.744027,7.489853,7.363947,8.253876,8.544584
GSM1539451_con,Normal,8.37633,8.772838,10.493916,7.350447,7.286004,7.909871,8.642885
GSM1539452_con,Normal,8.188037,8.839044,10.789703,7.164353,7.368576,8.018183,8.63768
GSM1539453_con,Normal,8.167385,8.48868,10.749181,7.397146,7.332972,8.519849,8.827715
GSM1539454_con,Normal,7.959987,8.464098,10.565203,7.357396,7.25223,8.135289,8.805241
GSM1539455_con,Normal,8.161236,8.623934,11.211465,7.369132,7.383238,8.017567,8.660987
GSM1539456_con,Normal,7.984754,8.515501,11.047464,7.502845,7.313529,8.862435,8.898582
GSM1539457_con,Normal,7.984754,8.48868,10.34525,7.435772,7.387368,8.33653,8.874374
