ID	Type	CISD1	G6PD	AKR1C3	HSBP1	ALOX5	ACO1	PHKG2	PGD	GSS	STEAP3	GCLM	PEBP1	CBS	AIFM2	ALOX12	ABCC1	KEAP1	CS
GSM1539671_con	Normal	8.45001	8.329303	8.634433	8.647262	8.562225	7.403579	7.092215	10.709074	7.21381	6.682086	7.404298	8.218648	6.892653	6.719409	7.35451	6.749173	7.450052	8.585605
GSM1539677_con	Normal	8.440826	8.260367	7.713346	8.681792	8.714261	7.539834	7.448086	10.224026	7.421875	6.738635	7.375451	8.004795	6.981952	6.866625	7.131228	6.870987	7.417653	8.501052
GSM1539685_con	Normal	7.853685	8.684621	7.090745	8.420112	9.020485	7.822464	7.445776	10.877988	7.548768	6.707048	7.110591	7.796228	7.42689	6.825287	7.512272	6.764718	7.556198	8.948908
GSM1539686_con	Normal	8.22898	8.338006	7.661019	8.900326	8.821513	7.576437	7.299356	10.72775	7.513285	6.832957	7.307075	7.774278	7.142924	6.773263	7.126056	6.84614	7.298563	8.599626
GSM1539694_con	Normal	8.2346	8.470764	8.216836	8.690249	8.530252	7.819778	7.129433	10.435841	7.391911	6.774483	7.130339	8.394052	6.726594	6.706434	7.184898	6.8112	7.53588	8.771958
GSM1539696_con	Normal	7.945866	8.617838	6.953037	8.794128	8.774458	7.455277	7.182326	10.915111	7.086408	6.745687	7.386369	7.736499	7.388223	6.72425	7.548986	6.729684	7.389728	8.48776
GSM1539699_con	Normal	7.920185	8.461344	7.430583	8.627377	9.019449	7.699054	7.346505	11.125087	7.413481	6.775303	7.332008	7.918286	7.337984	6.763179	6.904739	6.773342	7.479857	8.764543
GSM1539702_con	Normal	8.072704	8.474374	7.984221	8.856184	8.879613	7.606865	7.290168	10.738885	7.3612	6.74387	7.256148	8.090268	7.082522	6.716371	7.648964	6.703767	7.433803	8.800732
GSM1539704_con	Normal	8.74657	8.096358	8.554632	9.068159	8.514365	7.153308	7.183091	9.893676	7.177708	6.662238	7.294312	8.894122	6.83738	6.788033	6.769145	6.748764	7.228671	8.479141
GSM1539706_con	Normal	8.201748	8.592714	7.9802	8.742734	8.764752	7.487581	7.588613	10.565203	7.533543	6.653022	7.327425	7.926264	6.769906	6.825924	7.241832	6.733201	7.609165	8.597189
GSM1539707_con	Normal	7.731371	8.50875	7.684802	8.751408	8.932884	7.658622	7.257872	10.617378	7.296663	6.816806	7.200288	7.950909	7.333553	6.728623	7.284994	6.770295	7.333275	8.759984
GSM1539709_con	Normal	7.80029	8.402975	7.325539	8.863351	9.020485	7.553791	7.386256	11.248896	7.383429	6.755141	7.256656	7.625119	7.333241	6.785401	7.072557	6.866612	7.390075	8.784737
GSM1539710_con	Normal	8.194289	8.465075	7.562761	8.31694	8.638314	7.62508	7.152133	10.250475	7.355926	6.782159	7.451547	8.506501	6.933406	6.742065	7.093806	6.736335	7.36802	8.706786
GSM1539711_con	Normal	8.599734	8.378886	6.727157	9.067184	8.657213	7.910815	6.951462	10.063777	7.26139	6.719747	7.264089	8.530651	6.735723	6.685604	6.932778	6.850504	7.579434	8.598832
GSM1539712_con	Normal	8.375224	8.197354	7.68136	8.812115	8.703251	7.502244	7.169435	10.854812	7.214934	6.799416	7.437458	7.831924	7.389835	6.753053	7.062127	6.808146	7.306868	8.365943
GSM1539714_con	Normal	7.903744	8.560544	7.067641	8.604036	8.804136	7.555932	7.437295	10.646457	7.423866	6.727427	7.327631	8.011703	7.452202	6.751774	7.502545	6.726756	7.405928	8.777462
GSM1539715_con	Normal	7.973297	8.309388	7.523005	8.806611	8.961643	7.437199	7.17538	10.622208	7.334745	6.880556	7.279768	7.73024	6.987136	6.742239	6.945546	6.731691	7.298853	8.686581
GSM1539716_con	Normal	8.603576	8.065208	7.982885	8.916407	8.648984	7.582782	7.298248	10.020206	7.310319	6.804848	7.151677	8.051336	7.085121	6.745244	6.83232	6.807208	7.343917	8.64543
GSM1539731_con	Normal	7.98321	8.57866	6.757333	8.324231	8.833307	7.929823	7.19618	10.996407	7.581526	6.837145	7.177092	8.025344	7.114538	6.770282	7.10733	6.746911	7.560512	9.033437
GSM1539738_con	Normal	8.025458	8.580339	7.126775	8.411752	8.692386	7.790005	7.261062	10.635608	7.378209	6.691997	7.315753	8.481787	6.827584	6.750695	7.72943	6.872427	7.569572	8.738156
GSM1539740_con	Normal	8.725796	8.508234	8.015494	8.828782	8.81627	7.450265	7.08572	10.836189	7.388347	6.723534	7.311892	8.085574	7.389299	6.722154	7.376287	6.696003	7.597733	8.429012
GSM1539745_con	Normal	8.223853	8.373107	7.844587	8.849576	8.863996	7.662153	7.287748	11.064106	7.221437	6.896272	7.340416	7.852115	7.098827	6.70974	7.630225	6.755877	7.431396	8.661833
GSM1539754_con	Normal	8.071861	8.519624	7.212671	8.722548	8.842335	7.555225	7.17904	10.765703	7.352728	6.789385	7.296312	8.031791	7.026976	6.811665	7.338298	6.791896	7.397787	8.786629
GSM1539757_con	Normal	8.388953	8.561696	8.012984	8.887114	8.707432	7.558103	7.189184	10.736036	7.479306	6.762245	7.498849	8.19776	6.911497	6.662333	6.781267	6.817378	7.353147	8.318674
GSM1539758_con	Normal	8.218793	8.394093	7.675018	8.442925	8.873164	7.691458	7.22172	10.518593	7.256457	6.809936	7.304826	8.173984	7.149324	6.760518	7.370699	6.888008	7.399172	8.81075
GSM1539759_con	Normal	8.077627	8.561095	7.381563	8.56251	9.028076	7.65074	7.239935	11.16786	7.201872	6.902476	7.371594	7.908073	7.515492	6.750275	6.914563	6.776808	7.35892	8.567725
GSM1539762_con	Normal	8.401351	8.694304	7.979493	8.53006	8.705058	7.65309	7.395937	11.087375	7.394846	6.792783	7.333167	8.457928	7.176859	6.704536	7.021023	6.881056	7.640329	8.859977
GSM1539764_con	Normal	8.658836	8.132397	8.756854	8.673343	8.631059	7.543798	7.021321	10.349859	7.311742	6.789918	7.317631	8.3325	6.956718	6.673291	7.731568	6.716508	7.339884	8.549977
GSM1539770_con	Normal	8.174966	8.301081	7.45934	8.807334	8.75528	7.522751	7.32657	10.709074	7.41331	6.861305	7.403229	8.083018	6.993412	6.729645	7.32471	6.806271	7.48062	8.704992
GSM1539775_con	Normal	8.122663	8.316602	7.720047	8.800423	8.750152	7.483603	7.258449	10.232142	7.340765	6.738194	7.303749	8.327682	6.808459	6.768172	7.091859	6.766354	7.389354	8.591382
GSM1539779_con	Normal	8.78193	8.256984	8.069516	8.965233	8.563728	7.347937	7.05998	10.327596	7.311886	6.974805	7.342389	7.946631	6.903526	6.72635	7.632011	6.77018	7.372656	8.433228
GSM1539781_con	Normal	8.140787	8.608146	7.135762	8.711567	8.857693	7.491632	7.1868	10.894754	7.268804	6.852429	7.332781	8.033729	7.182046	6.771196	7.373114	6.730688	7.438495	8.601336
GSM1539795_con	Normal	7.881781	8.720529	7.82222	8.856184	9.024928	7.634784	7.534732	11.240969	7.235149	6.756243	7.400696	7.987011	7.534381	6.802498	7.499647	6.84852	7.466515	8.762637
GSM1539796_con	Normal	8.090516	8.368727	7.664098	8.816018	8.779517	7.297709	7.260465	10.425962	7.661748	6.717998	7.412625	7.753527	6.757675	6.74427	7.534554	6.813756	7.357252	8.648808
GSM1539679_con	Normal	7.98022	8.524041	7.577515	9.179245	8.877627	7.535408	7.209385	10.956543	7.27397	6.714869	7.430015	8.119558	7.011029	6.733224	7.279581	6.791305	7.405555	8.560887
GSM1539186_treat	Tumor	8.199908	8.536036	7.898289	9.004259	8.628635	7.45993	7.395987	10.392166	7.471376	6.805934	7.364955	8.003205	6.764567	6.728763	7.671252	6.777815	7.362796	8.698937
GSM1539187_treat	Tumor	7.859214	8.891787	7.058218	8.386088	9.053902	7.888693	7.3124	11.088831	7.377136	6.870651	7.20552	8.064944	7.410628	6.802173	7.132314	6.892067	7.459934	8.742556
GSM1539188_treat	Tumor	7.98961	8.538892	7.027915	8.545412	8.973479	7.57688	7.417438	10.927157	7.25729	6.828088	7.301101	8.321768	6.83753	6.783741	7.521227	6.831917	7.261561	8.700138
GSM1539189_treat	Tumor	7.931451	8.718907	7.071707	8.403313	9.171314	7.610971	7.312795	11.30222	7.237961	6.705778	7.464541	8.351397	7.511637	6.747196	7.665086	6.787751	7.385951	8.57699
GSM1539190_treat	Tumor	7.628862	8.718907	7.179557	8.738001	9.117929	7.661855	7.260453	11.371294	7.387	6.873234	7.373785	7.984606	6.837828	6.81874	8.033335	6.835931	7.381338	8.917493
GSM1539191_treat	Tumor	8.508589	8.475499	7.496221	8.919022	8.804291	7.593733	7.039184	10.855567	7.386044	6.89152	7.288594	7.851878	7.509886	6.646533	7.671871	6.743148	7.35873	8.551425
GSM1539192_treat	Tumor	7.754732	8.635718	7.874622	8.815922	8.912589	7.542397	7.207281	10.782587	7.424222	6.638876	7.345336	7.744886	6.772183	6.693509	7.506808	6.757608	7.450426	8.684388
GSM1539193_treat	Tumor	7.945443	8.810121	7.400131	8.705481	9.099863	7.680335	7.561237	11.237347	7.469012	6.836265	7.307066	7.934105	7.430663	6.724772	6.91486	6.846363	7.439775	8.764282
GSM1539194_treat	Tumor	8.281559	8.33973	7.401148	8.460935	8.691511	7.576364	7.187436	10.663601	7.359007	6.679476	7.233103	8.282433	6.845443	6.819566	7.471488	6.757731	7.589929	8.807611
GSM1539195_treat	Tumor	8.013212	8.480228	7.741259	8.680196	8.75134	7.811916	7.364665	10.46388	7.333684	6.733222	7.305609	8.192089	6.763092	6.676128	7.123717	6.854705	7.410887	8.780722
GSM1539196_treat	Tumor	8.427978	8.500932	7.759311	8.812613	8.916179	7.672747	7.147551	10.560793	7.237217	6.662268	7.401084	7.673271	7.229414	6.632511	6.834948	6.775819	7.363245	8.933433
GSM1539197_treat	Tumor	7.863697	8.623099	7.161901	8.575774	8.811085	7.5503	7.294732	10.57565	7.291185	6.818295	7.338935	8.410879	6.855757	6.745917	7.921004	6.854397	7.50714	8.651838
GSM1539198_treat	Tumor	8.038153	8.583454	7.686044	8.657821	8.86613	7.945905	7.171616	10.782587	7.431048	6.715627	7.287201	8.388299	6.872201	6.720333	7.133953	6.789215	7.4585	8.675737
