id	CISD1 Expression
GSM1539281_treat	8.119824
GSM1539282_treat	7.99396
GSM1539283_treat	8.620856
GSM1539284_treat	7.988064
GSM1539285_treat	8.048399
GSM1539286_treat	8.094469
GSM1539287_treat	8.266091
GSM1539288_treat	8.301372
GSM1539289_treat	8.586621
GSM1539290_treat	8.285108
GSM1539291_treat	7.987665
GSM1539292_treat	7.746329
GSM1539293_treat	8.041412
GSM1539294_treat	8.206649
GSM1539295_treat	7.970106
GSM1539296_treat	7.820356
GSM1539297_treat	7.533268
GSM1539298_treat	8.003135
GSM1539299_treat	8.155314
GSM1539300_treat	8.183252
GSM1539301_treat	8.123333
GSM1539302_treat	8.024507
GSM1539303_treat	7.700701
GSM1539304_treat	7.984959
GSM1539305_treat	8.254041
GSM1539306_treat	7.851316
GSM1539307_treat	7.968214
GSM1539308_treat	8.479947
GSM1539309_treat	8.561249
GSM1539310_treat	8.006398
GSM1539311_treat	8.674056
GSM1539312_treat	7.771407
GSM1539313_treat	7.820693
GSM1539314_treat	8.285108
GSM1539315_treat	8.242561
GSM1539316_treat	8.114914
GSM1539317_treat	7.920952
GSM1539318_treat	7.392273
GSM1539319_treat	7.879386
GSM1539320_treat	8.337132
GSM1539321_treat	7.909622
GSM1539322_treat	8.100609
GSM1539323_treat	7.94202
GSM1539324_treat	7.898023
GSM1539325_treat	7.787513
GSM1539326_treat	8.056747
GSM1539327_treat	7.848952
GSM1539328_treat	7.592849
GSM1539329_treat	7.728336
GSM1539330_treat	7.871071
GSM1539080_treat	8.000326
GSM1539081_treat	7.967467
GSM1539082_treat	8.005995
GSM1539083_treat	7.816163
GSM1539084_treat	7.780279
GSM1539085_treat	7.793014
GSM1539086_treat	8.101893
GSM1539087_treat	7.954968
GSM1539088_treat	8.021616
GSM1539089_treat	8.046747
GSM1539090_treat	7.950827
GSM1539091_treat	8.228625
GSM1539092_treat	8.31731
GSM1539093_treat	8.674833
GSM1539094_treat	8.085408
GSM1539095_treat	7.987289
GSM1539096_treat	8.273682
GSM1539097_treat	8.173413
GSM1539098_treat	8.239985
GSM1539099_treat	8.008394
GSM1539100_treat	7.637737
GSM1539101_treat	8.220964
GSM1539102_treat	7.960946
GSM1539103_treat	8.031419
GSM1539104_treat	7.657409
GSM1539105_treat	7.884437
GSM1539106_treat	7.839888
GSM1539107_treat	7.965175
GSM1539108_treat	7.862662
GSM1539109_treat	7.974449
GSM1539110_treat	7.843923
GSM1539111_treat	7.925609
GSM1539112_treat	8.404882
GSM1539113_treat	8.375251
GSM1539114_treat	7.717322
GSM1539115_treat	7.953441
GSM1539116_treat	7.70565
GSM1539117_treat	7.90737
GSM1539118_treat	8.30035
GSM1539368_treat	7.922069
GSM1539369_treat	7.750208
GSM1539370_treat	8.019255
GSM1539371_treat	7.789106
GSM1539372_treat	7.664429
GSM1539373_treat	7.917608
GSM1539374_treat	8.102353
GSM1539375_treat	7.747247
GSM1539376_treat	7.914691
GSM1539377_treat	7.876478
GSM1539378_treat	8.201324
GSM1539379_treat	8.330089
GSM1539380_treat	7.879758
GSM1539381_treat	8.197966
GSM1539382_treat	7.911478
GSM1539383_treat	8.025691
GSM1539384_treat	8.085408
GSM1539385_treat	8.2033
GSM1539386_treat	8.175246
GSM1539387_treat	8.052982
GSM1539388_treat	7.947007
GSM1539389_treat	8.659453
GSM1539390_treat	8.021616
GSM1539391_treat	7.663861
GSM1539392_treat	8.091035
GSM1539393_treat	8.077258
GSM1539394_treat	7.668356
GSM1539395_treat	8.13804
GSM1539396_treat	8.035567
GSM1539397_treat	7.829582
GSM1539398_treat	7.867529
GSM1539399_treat	8.06926
GSM1539400_treat	7.689547
GSM1539401_treat	7.896964
GSM1539402_treat	8.155314
GSM1539403_treat	7.817104
GSM1539404_treat	8.392557
GSM1539405_treat	7.917241
GSM1539406_treat	8.292308
GSM1539407_treat	7.725322
GSM1539408_treat	8.031419
GSM1539511_treat	7.816177
GSM1539512_treat	8.554541
GSM1539513_treat	7.995791
GSM1539514_treat	8.485312
GSM1539515_treat	7.623462
GSM1539516_treat	8.697402
GSM1539517_treat	7.755006
GSM1539518_treat	7.69909
GSM1539519_treat	7.555709
GSM1539520_treat	8.283745
GSM1539521_treat	7.686608
GSM1539522_treat	7.826448
GSM1539523_treat	7.952183
GSM1539524_treat	8.02505
GSM1539525_treat	8.069454
GSM1539526_treat	7.853685
GSM1539527_treat	8.299188
GSM1539528_treat	8.102973
GSM1539529_treat	8.302158
GSM1539530_treat	7.926942
GSM1539531_treat	7.899408
GSM1539532_treat	8.688179
GSM1539533_treat	8.298173
GSM1539534_treat	8.155564
GSM1539535_treat	7.859764
GSM1539536_treat	7.922323
GSM1539537_treat	7.846694
GSM1539538_treat	8.280256
GSM1539539_treat	7.693479
GSM1539540_treat	8.268812
GSM1539541_treat	7.553056
GSM1539542_treat	8.498025
GSM1539543_treat	7.726813
GSM1539544_treat	8.825335
GSM1539545_treat	7.723755
GSM1539546_treat	7.987778
GSM1539547_treat	8.018545
GSM1539548_treat	7.693479
GSM1539549_treat	7.887723
GSM1539550_treat	8.159505
GSM1539554_treat	8.215981
GSM1539560_treat	7.855726
GSM1539562_treat	7.990427
GSM1539563_treat	7.793235
GSM1539570_treat	8.038229
GSM1539571_treat	8.254616
GSM1539575_treat	7.627153
GSM1539576_treat	7.751044
GSM1539577_treat	8.158582
GSM1539579_treat	7.789015
GSM1539581_treat	8.397539
GSM1539582_treat	7.678526
GSM1539583_treat	8.168249
GSM1539586_treat	8.130243
GSM1539587_treat	8.127297
GSM1539589_treat	7.772974
GSM1539593_treat	7.849366
GSM1539599_treat	8.136059
GSM1539604_treat	8.403613
GSM1539606_treat	7.98321
GSM1539613_treat	8.555728
GSM1539616_treat	8.532404
GSM1539619_treat	7.67228
GSM1539623_treat	7.813235
GSM1539624_treat	8.362207
GSM1539626_treat	7.879125
GSM1539627_treat	7.908188
GSM1539629_treat	8.532967
GSM1539630_treat	7.918439
GSM1539632_treat	8.761139
GSM1539634_treat	8.197156
GSM1539637_treat	8.515501
GSM1539641_treat	8.179042
GSM1539643_treat	8.11843
GSM1539644_treat	8.337824
GSM1539646_treat	8.156832
GSM1539647_treat	8.103812
GSM1539648_treat	8.033564
GSM1539650_treat	7.996886
GSM1539656_treat	7.655628
GSM1539661_treat	7.748257
GSM1539662_treat	8.422712
GSM1539663_treat	7.960369
GSM1539665_treat	8.211813
GSM1539666_treat	7.853041
GSM1539673_treat	8.042922
GSM1539674_treat	7.705665
GSM1539675_treat	8.354148
GSM1539676_treat	8.353652
GSM1539678_treat	8.210405
GSM1539687_treat	7.663014
GSM1539689_treat	7.678212
GSM1539691_treat	8.369807
GSM1539692_treat	8.116376
GSM1539693_treat	8.331117
GSM1539697_treat	8.191575
GSM1539698_treat	8.159505
GSM1539701_treat	8.092205
GSM1539703_treat	7.625152
GSM1539705_treat	7.687885
GSM1539713_treat	8.365541
GSM1539717_treat	7.684166
GSM1539718_treat	7.937938
GSM1539719_treat	7.957746
GSM1539720_treat	8.088129
GSM1539721_treat	7.98022
GSM1539722_treat	8.049882
GSM1539723_treat	7.987013
GSM1539727_treat	8.205851
GSM1539728_treat	8.274327
GSM1539729_treat	8.326465
GSM1539732_treat	7.831976
GSM1539733_treat	8.119276
GSM1539736_treat	8.1876
